seq	Database
fosA|ARO_3000149	CARD/Kleborate
fosA2|ARO_3002804	CARD/Kleborate
fosA3|ARO_3002872	CARD/Kleborate
fosA4|ARO_3003210	CARD/Kleborate
fosA5|ARO_3003209	CARD/Kleborate
fosA6|ARO_3004111	CARD/Kleborate
fosA7|ARO_3004113	CARD/Kleborate
fosA7.5|ARO_3005162	CARD/Kleborate
fosB|ARO_3004661	CARD/Kleborate
fosB|ARO_3000172	CARD/Kleborate
fosB1|ARO_3004670	CARD/Kleborate
fosB2|ARO_3005100	CARD/Kleborate
fosB3|ARO_3002873	CARD/Kleborate
fosB4|ARO_3004671	CARD/Kleborate
fosB5|ARO_3004672	CARD/Kleborate
fosB6|ARO_3004673	CARD/Kleborate
fosC|ARO_3000380	CARD/Kleborate
fosC2|ARO_3002874	CARD/Kleborate
fosD|ARO_3004674	CARD/Kleborate
fosK|ARO_3003207	CARD/Kleborate
fosL1|ARO_3005024	CARD/Kleborate
fosM1|ARO_3007097	CARD/Kleborate
fosM2|ARO_3007098	CARD/Kleborate
fosM3|ARO_3007099	CARD/Kleborate
fosX|ARO_3000198	CARD/Kleborate
fosXCC|ARO_3003208	CARD/Kleborate
fosY|ARO_3007069	CARD/Kleborate
fosA|NG_050560.1	ResFinder/NCBI
fosA|FN543093.2	ResFinder/NCBI
fosA|M85195.1	ResFinder/NCBI
fosA|CP054792.1	ResFinder/NCBI
fosA|CP052262.1	ResFinder/NCBI
fosA|AEXB01000013.1	ResFinder/NCBI
fosA|NG_047885.1	ResFinder/NCBI
fosA10|MT074415.1	ResFinder/NCBI
fosA3|AB522970.2	ResFinder/NCBI
fosA5|NG_047881.1	ResFinder/NCBI
fosA6|KU254579.1	ResFinder/NCBI
fosB|X54227.1	ResFinder/NCBI
fosB|CP043845.1	ResFinder/NCBI
fosB|CP000029.1	ResFinder/NCBI
fosB|AJ605334.1	ResFinder/NCBI
fosB|X89875.1	ResFinder/NCBI
fosB1|CP001903.1	ResFinder/NCBI
fosD|KC989517.1	ResFinder/NCBI
fosE|AB901041.1	ResFinder/NCBI
fosE|AY029772.1	ResFinder/NCBI
fosF|AY294333.1	ResFinder/NCBI
fosG|DQ112222.1	ResFinder/NCBI
fosI|CP003505.2	ResFinder/NCBI
fosX|AP010904.1	ResFinder/NCBI
fosX|AL591981.1	ResFinder/NCBI
fosX|AP010904.1	ResFinder/NCBI
orf2|DQ342344.1	ResFinder/NCBI
